application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, Round, isProvisional, StatusId, autoUpgrade, acceptancePath, declarationPath, undertakingPath, challanPath, isSupernumeri
M105E77, 1503, PH, GEN, 1, 1, 84, round3, true, 3, false, /mnt/nas/nas2/set44/bucket98/M105E77/M105E77-ch-20150616120639608, null, /mnt/nas/nas2/set44/bucket98/M105E77/M105E77-ch-20150616120706963, /mnt/nas/nas2/set44/bucket98/M105E77/M105E77-ch-2015061709123261, false
M111T73, 1302, MA, GEN, 1, 1, 75.67, round3, true, 3, false, /mnt/nas/nas2/set41/bucket0/M111T73/M111T73-ch-20150617164620977, /mnt/nas/nas2/set41/bucket0/M111T73/M111T73-ch-20150617164840119, /mnt/nas/nas2/set41/bucket0/M111T73/M111T73-ch-20150617165013492, /mnt/nas/nas2/set41/bucket0/M111T73/M111T73-ch-20150618170858379, false
M103J31, 1201, GG, GEN, 1, 1, 86, round3, true, 3, false, /mnt/nas/nas3/set82/bucket20/M103J31/M103J31-ch-20150617105638137, null, /mnt/nas/nas3/set82/bucket20/M103J31/M103J31-ch-20150617105717736, /mnt/nas/nas3/set82/bucket20/M103J31/M103J31-ch-20150617160404251, false
M115W77, 1504, MS, GEN, 1, 1, 91.67, round3, true, 3, false, /mnt/nas/nas1/set58/bucket39/M115W77/M115W77-ch-20150618224608966, null, /mnt/nas/nas1/set58/bucket39/M115W77/M115W77-ch-20150618224754103, /mnt/nas/nas1/set58/bucket39/M115W77/M115W77-ch-20150619213544804, false
M105Q59, 1101, BL, GEN, 1, 1, 67.33, round3, true, 3, false, /mnt/nas/nas1/set67/bucket74/M105Q59/M105Q59-ch-20150617110726145, null, /mnt/nas/nas1/set67/bucket74/M105Q59/M105Q59-ch-20150617110747219, /mnt/nas/nas1/set67/bucket74/M105Q59/M105Q59-ch-2015061711551768, false
M103J40, 1201, GG, GEN, 1, 1, 86, round3, true, 3, false, /mnt/nas/nas2/set84/bucket9/M103J40/M103J40-ch-20150617210517019, /mnt/nas/nas2/set84/bucket9/M103J40/M103J40-ch-2015061721053209, /mnt/nas/nas2/set84/bucket9/M103J40/M103J40-ch-20150617210554364, /mnt/nas/nas2/set84/bucket9/M103J40/M103J40-ch-20150618120602855, false
M122V96, 1204, BT, GEN, 1, 1, 56.33, round3, false, 3, false, /mnt/nas/nas2/set43/bucket48/M122V96/M122V96-ch-20150618112325706, null, null, /mnt/nas/nas2/set43/bucket48/M122V96/M122V96-ch-20150618173124605, false
M114R25, 1205, CY, GEN, 1, 1, 89, round3, true, 3, false, /mnt/nas/nas2/set60/bucket51/M114R25/M114R25-ch-20150616200256428, null, /mnt/nas/nas2/set60/bucket51/M114R25/M114R25-ch-20150616200337578, /mnt/nas/nas2/set60/bucket51/M114R25/M114R25-ch-20150618202343133, false
M105P12, 1101, BL, GEN, 1, 2, 66.33, round3, true, 3, false, /mnt/nas/nas1/set31/bucket28/M105P12/M105P12-ch-20150616203145608, null, /mnt/nas/nas1/set31/bucket28/M105P12/M105P12-ch-20150617060132202, /mnt/nas/nas1/set31/bucket28/M105P12/M105P12-ch-20150618070137959, false
M105J91, 1504, MS, GEN, 1, 2, 82, round3, true, 3, false, /mnt/nas/nas3/set90/bucket90/M105J91/M105J91-ch-20150617162706581, null, /mnt/nas/nas3/set90/bucket90/M105J91/M105J91-ch-20150617172312374, /mnt/nas/nas3/set90/bucket90/M105J91/M105J91-ch-20150618141826429, false
M114D43, 1501, CY, GEN, 1, 2, 86.33, round3, false, 3, false, /mnt/nas/nas2/set47/bucket39/M114D43/M114D43-ch-2015061715003624, null, null, /mnt/nas/nas2/set47/bucket39/M114D43/M114D43-ch-20150618024837367, false
M111Q29, 1503, PH, GEN, 1, 2, 68.67, round3, true, 3, false, /mnt/nas/nas3/set87/bucket2/M111Q29/M111Q29-ch-20150616133907575, null, /mnt/nas/nas3/set87/bucket2/M111Q29/M111Q29-ch-20150616141824457, /mnt/nas/nas3/set87/bucket2/M111Q29/M111Q29-ch-2015062205433293, false
M103J46, 1201, GG, GEN, 1, 3, 83.33, round3, true, 4, true, /mnt/nas/nas3/set34/bucket82/M103J46/M103J46-ch-20150617160722432, /mnt/nas/nas3/set34/bucket82/M103J46/M103J46-ch-20150617160744596, /mnt/nas/nas3/set34/bucket82/M103J46/M103J46-ch-20150617160758344, /mnt/nas/nas3/set34/bucket82/M103J46/M103J46-ch-20150618112310168, false
M102P91, 1503, PH, GEN, 1, 3, 66.33, round3, true, 3, false, /mnt/nas/nas3/set74/bucket99/M102P91/M102P91-ch-20150616230845333, null, /mnt/nas/nas3/set74/bucket99/M102P91/M102P91-ch-2015061623094159, /mnt/nas/nas3/set74/bucket99/M102P91/M102P91-ch-2015061714565874, false
