AAllocated-Progra,allocated-Paper,Allocated-Quota
1503,PH,GEN
1302,MA,GEN
1201,GG,GEN
1504,MS,GEN
1101,BL,GEN
1201,GG,GEN
1204,BT,GEN
1205,CY,GEN
1101,BL,GEN
1504,MS,GEN
1501,CY,GEN
1503,PH,GEN
1201,GG,GEN
1503,PH,GEN
1203,MS,GEN
1504,MS,GEN
1204,BT,GEN
1102,CY,GEN
1201,GG,GEN
1207,PH,GEN
1201,GG,GEN
1501,CY,GEN
1101,BT,GEN
1103,MA,GEN
1101,BL,GEN
1203,MS,GEN
1101,BL,GEN
1101,BL,GEN
1602,GG,GEN
1205,CY,GEN
1103,MA,GEN
1504,MS,GEN
1207,PH,GEN
1201,GG,GEN
1501,CY,GEN
1504,MS,GEN
1103,MA,GEN
1101,BT,GEN
1207,PH,GEN
1504,MS,GEN
1201,GG,GEN
1601,CY,GEN
1504,MS,GEN
1201,GG,GEN
1204,BT,GEN
1206,MA,GEN
1102,CY,GEN
1206,MA,GEN
1204,BT,GEN
1203,MS,GEN
1201,GG,GEN
1501,CY,GEN
1501,CY,GEN
1101,BT,GEN
1102,CY,GEN
1201,GG,GEN
1207,PH,GEN
1504,MS,GEN
1201,GG,GEN
1503,PH,GEN
1504,MS,GEN
1206,MA,GEN
1204,BT,GEN
1503,PH,GEN
1501,CY,GEN
1201,GG,GEN
1501,CY,GEN
1203,MS,GEN
1206,MA,GEN
1201,GG,GEN
1501,CY,GEN
1204,BT,GEN
1206,MA,GEN
1205,CY,GEN
1201,GG,GEN
1203,MS,GEN
1204,BT,GEN
1303,PH,GEN
1206,MA,GEN
1104,PH,GEN
1201,GG,GEN
1207,PH,GEN
1504,MS,GEN
1206,MA,GEN
1204,BT,GEN
1201,GG,OBC
1201,GG,OBC
1501,CY,GEN
1501,CY,GEN
1501,CY,GEN
1302,MA,GEN
1101,BL,OBC
1204,BT,GEN
1203,MS,GEN
1204,BT,GEN
1101,BT,GEN
1504,MS,GEN
1602,GG,GEN
1207,PH,GEN
1206,MA,GEN
1201,GG,OBC
1501,CY,GEN
1203,MS,GEN
1604,PH,GEN
1206,MA,GEN
1208,GG,GEN
1204,BT,GEN
1501,CY,GEN
1206,MA,GEN
1504,MS,GEN
1504,MS,GEN
1203,MS,GEN
1501,CY,GEN
1801,GG,GEN
1204,BT,GEN
1302,MA,GEN
1101,BL,SC
1802,BT,GEN
1602,GG,GEN
1503,PH,GEN
1208,GG,GEN
1501,CY,GEN
1210,BT,GEN
1503,PH,GEN
1501,CY,GEN
1206,MA,GEN
1602,GG,GEN
1206,MA,GEN
1206,MA,GEN
1201,GG,OBC
1504,MS,GEN
1204,BT,GEN
1501,CY,GEN
1802,BT,GEN
1210,BT,GEN
1203,MS,GEN
1204,BT,GEN
1205,CY,GEN
1504,MS,GEN
1501,CY,GEN
1503,PH,GEN
1206,MA,GEN
1203,MS,GEN
1602,GG,GEN
1205,CY,GEN
1104,PH,GEN
1201,GG,OBC
1206,MA,GEN
1103,MA,GEN
1203,MS,GEN
1501,CY,GEN
1801,GG,GEN
1502,MA,GEN
1101,BL,OBC
1602,GG,GEN
1203,MS,GEN
1501,CY,SC
1503,PH,GEN
1302,MA,GEN
1102,CY,GEN
1504,MS,GEN
1602,GG,GEN
1802,BT,GEN
1504,MS,GEN
1205,CY,GEN
1210,BL,GEN
1206,MA,SC
1602,GG,GEN
1502,MA,GEN
1602,GG,GEN
1202,PH,GEN
