Application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, StatusId, Auto Upgrade, isSupernumeri
M101V78, 1504, MS, GEN, 2, 49, 46.67, 3, true, false
M110Z66, 1214, MS, GEN, 1, 53, 46.33, 1, true, false
M109A77, 1503, PH, GEN, 2, 72, 44.67, 3, true, false
M111E30, 1905, GG, OBC, 5, 117, 55.33, 1, true, false
M107P79, 1703, PH, GEN, 3, 184, 38, 3, true, false
M116A89, 1703, PH, GEN, 4, 184, 38, 3, true, false
M121Y66, 2101, CY, GEN, 7, 209, 53.67, 3, true, false
M113U97, 1403, PH, GEN, 4, 230, 36, 3, true, false
M104C44, 2001, CY, GEN, 6, 237, 52.33, 3, true, false
M108U21, 2201, CY, GEN, 6, 240, 52, 3, true, false
M106K74, 2302, CY, GEN, 5, 246, 51.67, 3, true, false
M103H94, 2401, CY, GEN, 12, 250, 51.67, 1, true, false
M108F55, 2401, CY, GEN, 11, 250, 51.67, 1, true, false
M104W22, 2401, CY, GEN, 15, 250, 51.67, 1, true, false
M102P35, 2103, PH, GEN, 8, 254, 35.33, 3, true, false
M102A61, 2103, PH, GEN, 15, 263, 35.33, 3, true, false
M115P88, 1902, MA, GEN, 5, 279, 35.33, 1, true, false
M105T55, 2203, MA, GEN, 2, 281, 35.33, 3, true, false
M103A52, 2003, PH, GEN, 4, 283, 34.67, 3, true, false
M108W47, 2403, MA, GEN, 13, 284, 35, 1, true, false
M106D69, 2003, PH, GEN, 4, 287, 34.33, 3, true, false
M102S96, 1905, MA, GEN, 18, 301, 34.67, 1, true, false
M104F73, 1903, PH, GEN, 12, 304, 33.67, 3, true, false
M103Y99, 2402, PH, GEN, 5, 318, 33.33, 1, true, false
M105U70, 2303, PH, GEN, 7, 320, 33.33, 1, true, false
M110D57, 2402, PH, GEN, 3, 320, 33.33, 3, true, false
M115Y85, 2303, PH, GEN, 17, 320, 33.33, 1, true, false
M112M91, 2303, PH, GEN, 8, 324, 33.33, 1, true, false
M103V74, 2303, PH, GEN, 12, 325, 33, 1, true, false
M103W44, 2402, PH, GEN, 20, 328, 33, 1, true, false
M111K40, 1905, PH, GEN, 23, 329, 32.67, 1, true, false
M114Y74, 2402, PH, GEN, 8, 330, 32.67, 1, true, false
M103M71, 2402, PH, GEN, 16, 334, 32.67, 1, true, false
M116Z46, 1904, GG, SC, 6, 385, 36.67, 1, true, false
M103Y11, 1904, GG, SC, 5, 432, 34.33, 1, true, false
M111V62, 1802, BT, SC, 2, 462, 22.33, 1, true, false
M119X22, 1802, BT, ST, 4, 964, 17.67, 1, true, false
M114X25, 1403, PH, SC, 4, 1334, 20, 3, true, false
M101U74, 2002, MA, SC, 4, 1423, 20.33, 1, true, false
M108G65, 2102, MA, SC, 9, 1423, 20.33, 3, true, false
M119C75, 1402, MA, SC, 9, 1444, 20.33, 1, true, false
M105C38, 2202, PH, SC, 8, 1509, 19, 3, true, false
M105U76, 1903, PH, SC, 1, 1583, 18.67, 3, true, false
M108S40, 2003, PH, SC, 6, 1608, 18.33, 1, true, false
M120U53, 1605, PH, SC, 8, 1640, 18.33, 1, true, false
M120F30, 2402, PH, ST, 10, 3415, 12, 1, true, false
M104R36, 2202, PH, ST, 12, 3415, 12, 1, true, false
M114X70, 1702, MA, ST, 13, 3727, 11, 1, true, false
