Application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, Round, Is_accepted, Is_rejected, Remark, StatusId, autoUpgrade
M105E77, 1503, PH, GEN, 1, 1, 84, round2, null, null, null,3, false
M111T73, 1302, MA, GEN, 1, 1, 75.67, round2, null, null, null,3, false
M103J31, 1201, GG, GEN, 1, 1, 86, round2, null, null, null,3, false
M115W77, 1504, MS, GEN, 1, 1, 91.67, round2, null, null, null,3, false
M105Q59, 1101, BL, GEN, 1, 1, 67.33, round2, null, null, null,3, false
M103J40, 1201, GG, GEN, 1, 1, 86, round2, null, null, null,3, false
M122V96, 1204, BT, GEN, 1, 1, 56.33, round2, null, null, null,3, false
M114R25, 1205, CY, GEN, 1, 1, 89, round2, null, null, null,3, false
M105P12, 1101, BL, GEN, 1, 2, 66.33, round2, null, null, null,3, false
M105J91, 1504, MS, GEN, 1, 2, 82, round2, null, null, null,3, false
M114D43, 1501, CY, GEN, 1, 2, 86.33, round2, null, null, null,3, false
M111Q29, 1503, PH, GEN, 1, 2, 68.67, round2, null, null, null,3, false
M103J46, 1201, GG, GEN, 1, 3, 83.33, round2, null, null, null,4, true
M102P91, 1503, PH, GEN, 1, 3, 66.33, round2, null, null, null,3, false
M105J88, 1203, MS, GEN, 1, 3, 76, round2, null, null, null,3, false
M105J87, 1504, MS, GEN, 1, 4, 74.33, round2, null, null, null,3, false
M114Z20, 1204, BT, GEN, 1, 4, 44.67, round2, null, null, null,3, false
M101S65, 1102, CY, GEN, 1, 4, 81, round2, null, null, null,3, false
M108X80, 1201, GG, GEN, 1, 4, 81.33, round2, null, null, null,3, false
M111P87, 1207, PH, GEN, 1, 4, 63.67, round2, null, null, null,3, false
M108M76, 1201, GG, GEN, 1, 5, 80.67, round2, null, null, null,3, false
M103A86, 1501, CY, GEN, 1, 5, 80, round2, null, null, null,3, false
M105P30, 1101, BT, GEN, 1, 5, 44.33, round2, null, null, null,3, false
M104B69, 1103, MA, GEN, 1, 5, 64, round2, null, null, null,3, false
M111F25, 1101, BL, GEN, 1, 5, 64.33, round2, null, null, null,3, false
M105J86, 1203, MS, GEN, 1, 5, 71.33, round2, null, null, null,3, false
M101K26, 1602, GG, GEN, 1, 6, 79.33, round2, null, null, null,3, false
M105K13, 1205, CY, GEN, 1, 6, 78.33, round2, null, null, null,3, false
M102T35, 1103, MA, GEN, 1, 6, 63.67, round2, null, null, null,3, false
M104U37, 1504, MS, GEN, 1, 6, 71, round2, null, null, null,3, false
M109X50, 1207, PH, GEN, 1, 6, 61, round2, null, null, null,3, false
M101N25, 1201, GG, GEN, 1, 7, 78.67, round2, null, null, null,3, false
M110E46, 1501, CY, GEN, 1, 7, 77.67, round2, null, null, null,3, false
M101N21, 1504, MS, GEN, 1, 7, 69.67, round2, null, null, null,3, false
M102E67, 1103, MA, GEN, 1, 7, 62.33, round2, null, null, null,3, false
M102T81, 1101, BT, GEN, 1, 8, 42.67, round2, null, null, null,3, false
M112E18, 1207, PH, GEN, 1, 8, 60.33, round2, null, null, null,3, false
M104R88, 1504, MS, GEN, 1, 8, 69, round2, null, null, null,3, false
M105H64, 1201, GG, GEN, 1, 8, 78.67, round2, null, null, null,3, false
M111H72, 1601, CY, GEN, 1, 8, 77, round2, null, null, null,3, false
M102C89, 1504, MS, GEN, 1, 9, 66.67, round2, null, null, null,3, false
M116H70, 1201, GG, GEN, 1, 9, 78, round2, null, null, null,3, false
M112U75, 1204, BT, GEN, 1, 9, 42, round2, null, null, null,3, false
M106U10, 1206, MA, GEN, 1, 9, 61.33, round2, null, null, null,3, false
M103W69, 1102, CY, GEN, 1, 9, 76.33, round2, null, null, null,3, false
M101G54, 1206, MA, GEN, 2, 10, 60.33, round2, null, null, null,3, false
M111U88, 1204, BT, GEN, 3, 10, 41.67, round2, null, null, null,3, false
M101Y56, 1203, MS, GEN, 1, 10, 63.67, round2, null, null, null,3, false
M105H65, 1201, GG, GEN, 1, 10, 77.33, round2, null, null, null,3, false
M107X27, 1501, CY, GEN, 1, 10, 75.67, round2, null, null, null,3, false
M110T93, 1501, CY, GEN, 1, 11, 75, round2, null, null, null,4, true
M107D67, 1101, BT, GEN, 1, 11, 41.67, round2, null, null, null,4, true
M103W49, 1102, CY, GEN, 1, 11, 75, round2, null, null, null,3, false
M109W53, 1201, GG, GEN, 1, 11, 75.33, round2, null, null, null,3, false
M107S40, 1207, PH, GEN, 2, 11, 59.67, round2, null, null, null,3, false
M111J55, 1504, MS, GEN, 1, 11, 62.33, round2, null, null, null,3, false
M105E78, 1201, GG, GEN, 1, 12, 74.67, round2, null, null, null,3, false
M117D93, 1503, PH, GEN, 1, 12, 59, round2, null, null, null,3, false
M105J76, 1504, MS, GEN, 1, 12, 62, round2, null, null, null,3, false
M106D55, 1206, MA, GEN, 2, 12, 57.33, round2, null, null, null,4, true
M119V91, 1204, BT, GEN, 1, 13, 40, round2, null, null, null,3, false
M103A56, 1503, PH, GEN, 1, 13, 59, round2, null, null, null,3, false
M105U90, 1501, CY, GEN, 1, 13, 74.33, round2, null, null, null,3, false
