application_id,seat_allotted
M108W47,2203
M108W47,1603
M108Q95,2403
M109M27,2002
M110E13,1213
M110E13,1202
M104H51,1702
M108Z70,1604
M108Z70,2103
M108Z70,1903
M108Z70,1703
M108Z70,1403
M114R82,2003
M114R82,1605
M101C21,1603
M102P62,1702
M107G43,1403
M107G43,2202
M107G43,2303
M107G43,1604
M107G43,2103
M102N49,1505
M106N88,1502
M106N88,1302
M106B24,1503
M108D41,1303
M113Q83,1403
M115R31,1604
M111Z46,1503
M104P95,2102
M103X26,1211
M102V92,1801
M107D21,1602
M107D21,1201
M101Z98,1602
M111P59,1701
M113M63,1604
M113M63,1503
M111E51,2301
M111E51,1804
M108T63,1302
M108Q95,2002
M108Q95,1603
M101K82,1904
M101K82,1602
M105F73,1904
M115U83,2203
M105W39,2002
M107H67,1301
M115J77,1401
M115J77,1205
M108Q20,1803
M101E88,1505
M101E88,1303
M103Q40,1603
M103Q40,1702
M103Q40,1902
M101N86,1604
M107W39,1604
M112B86,1801
M107E80,1701
M111P81,1601
M101C29,1503
M102V36,1401
M105R94,1801
M113E87,1604
M102M30,1604
M105G47,2301
M112N86,2301
M111U85,2301
M105W39,2301
M118G21,2301
M104D50,2301
M109G40,2301
M101S81,1501
M104K60,1601
M110M37,1601
M104P83,1601
M104Y61,1403
M103X51,1402
M104W30,1402
M101S59,1901
M106J77,1901
M110M37,1901
M107A78,1901
M121F43,1901
M107S40,1503
M103J90,1601
M101J49,1601
M101Q53,1101
M111E30,1602
M118K80,1604
M118W88,1101
M108K81,1604
M106J26,1102
M102E67,1103
M102M24,1103
M104G72,1104
M112Y64,1104
M105U76,1903
M107R46,1903
M104F73,1903
M102Q82,1903
M103C40,1903
M102F61,1901
M106T60,1901
M121K48,1902
M102S96,1902
M104M27,1902
M115T47,1402
M107X19,1902
M118G21,1902
M108J76,1902
M105S37,1902
M112K35,1902
M103K95,2101
M114X70,1902
M101M12,1904
M105H73,1904
M101J49,2101
M104N25,2103
M101F40,1904
M106E14,1904
M117S23,1904
M108E17,1904
M107H38,1904
M107K22,1904
M106U91,1904
M107G76,1904
M102T12,1503
M102W29,1503
M105J10,1904
M104X28,1904
M112J48,1904
M101U34,1503
M103H76,1904
M108F98,1904
M104W59,1805
M111Z10,1802
M109H52,1803
M115Y15,2303
M104Y61,2303
M114G33,2303
M101F76,2303
M118E32,2303
M106D69,2303
M114Q18,1503
M116Y26,1905
M108T73,1905
M107G92,1905
M110T46,1905
M108U35,1905
M101K53,1905
M111C44,1905
M104G13,1905
M108S23,1905
M120P73,1905
M119M29,1905
M106C99,1905
M109S65,1905
M115P92,1905
M102H66,1905
M104F26,1905
M118U96,1905
M114C18,1905
M103A94,1905
M103U48,1905
M108U28,1701
M103Z87,1701
M101W95,1702
M105T85,1701
M102G17,1701
M104W59,1703
M106J77,1701
M110D94,1702
M108M91,1703
M113C63,1702
M115Y49,1702
M106A73,1301
M102U17,1301
M106S48,1301
M102E95,1301
M101U32,1301
M106J46,1301
M108T36,1301
M109K18,1301
M103Y51,1301
M107U23,1901
M101U45,1301
M115C15,1301
M109G47,1302
M111K18,1302
M102E17,1302
M108Q16,1302
M112J26,1302
M103G11,1302
M104S13,1302
M108P37,1302
M109R21,1302
M103R40,1303
M107Z50,1303
M102A17,1303
M112Z30,1303
M103V19,1303
M109Q80,1303
M103N27,2201
M107S99,1501
M107S87,1501
M118J12,1502
M117J34,1501
M109Z21,1501
M110A41,1501
M109H62,1505
M107S75,2201
M109Z11,1502
M103R20,2201
M101F44,1502
M108U21,2201
M102K19,1505
M103H57,1505
M107Z50,1505
M110X50,1505
M108N97,1505
M101D50,1505
M114C48,1504
M109F36,1502
M116Z37,1504
M112J26,1502
M108M99,1502
M110S90,1504
M104M99,1504
M111Q20,1504
M116S36,1504
M115G61,1504
M106K74,2302
M111G50,1504
M101S45,1504
M120H32,1503
M118P10,2302
M119G15,2302
M107F27,2201
M101E33,2201
M109X84,2201
M114B95,2201
M113X72,2201
M109Z21,2201
M105C56,2201
M105C70,2201
M109P53,2201
M103V13,2201
M110H99,2201
M116N15,2201
M120U17,2201
M106T60,2201
M113V54,2201
M107H36,2201
M104M65,2202
M102U90,2202
M113W66,2202
M106D69,2202
M102Q82,2202
M104F73,2202
M101D45,2202
M108M91,2202
M104S59,2202
M117S65,2202
M101Q52,2202
M105C38,2202
M103B42,2202
M103F38,2203
M105T55,2203
M113A59,2203
M105G47,2203
M104H51,2203
M107F84,2203
M104K36,2203
M104M27,2203
M103F80,2203
M104J78,2203
M105W39,2203
M118G21,2203
M103Q76,2203
M109G40,2203
M108U28,2001
M102M40,2001
M105G82,2001
M107Y71,2001
M116N15,2001
M110T51,2001
M104P69,2001
M101R80,2001
M120P46,2001
M102N50,2002
M118Q87,2002
M101M35,1214
M102J71,1203
M115R24,1214
M108C59,1203
M101S36,2002
M101D45,1216
M118G21,2002
M114S23,2002
M103C75,2002
M103X55,2002
M109R40,2002
M114X70,2002
M102P35,2003
M114D68,2003
M104Y61,2003
