registration_id,application_id,air,raw_marks
BL610069-M0,M105Q59,1,67.33
BL307007-M0,M105P12,2,66.33
BL606087-M0,M110Y28,3,66
BL303241-M0,M102T81,4,64.67
BL320086-M0,M111F25,5,64.33
BL606057-M0,M107E62,6,63.67
BL320116-M0,M113A37,6,63.67
BL212145-M1,M119E44,8,63.33
BL301025-M0,M102Q70,9,62.67
BL304026-M0,M119V91,10,62.33
BL324352-M0,M103F28,11,61.67
BL410012-M0,M103W20,12,60.67
BL325035-M0,M111U88,13,60.67
BL610060-M0,M104B64,14,59.67
BL606055-M0,M106S72,15,59
BL618080-M1,M101Q53,16,58.33
BL105104-M0,M118R23,16,58.33
BL203180-M0,M101C20,18,57.67
BL513207-M0,M102N12,19,56.33
BL325065-M0,M116H77,19,56.33
BL319009-M0,M101P46,21,56
BL301087-M0,M106S84,22,56
BL327326-M1,M113B22,23,55.67
BL501025-M1,M102P94,24,55.33
BL101040-M0,M110H37,25,55
BL303302-M0,M112R53,25,55
BL101170-M1,M106Q67,27,54.67
BL325124-M1,M101C45,27,54.67
BL103041-M0,M113A93,29,54.67
BL115056-M1,M106Z87,30,54.33
BL101017-M0,M103V96,31,53.67
BL302152-M1,M110Y48,32,53.67
BL102036-M1,M111Z98,32,53.67
BL610095-M0,M109M38,34,53.33
BL325091-M0,M120C34,35,53.33
BL325081-M0,M118U24,35,53.33
BL301015-M0,M101V87,37,53
BL307131-M0,M102Y56,38,52.67
BL606011-M0,M101Z66,39,52.33
BL319116-M0,M106R91,40,52.33
BL313007-M0,M102D92,41,52.33
BL320167-M0,M116S81,42,52
BL805041-M1,M117T96,43,51.67
BL411072-M1,M114Q15,44,51.33
BL801015-M0,M113U31,44,51.33
BL301064-M0,M105M56,44,51.33
BL610083-M0,M107R85,44,51.33
BL610115-M0,M114J24,48,51.33
BL320197-M0,M118Y73,49,51
BL206063-M0,M121Y25,50,51
BL610112-M0,M114A35,51,51
BL616008-M0,M106F47,52,50.67
BL303269-M0,M105Y55,53,50.67
BL322139-M1,M105C10,54,50
BL325003-M0,M107J58,55,50
BL320085-M0,M111D57,56,50
BL513278-M1,M102M38,57,49.67
BL101041-M0,M110Z43,57,49.67
BL610058-M0,M103Z22,59,49.67
BL303009-M1,M115U31,60,49.33
BL805020-M0,M121Z89,60,49.33
BL301259-M0,M119T88,62,49
BL204034-M0,M113C80,63,49
BL210026-M0,M111M37,63,49
BL210063-M0,M118R42,65,49
BL319079-M0,M105D98,65,49
BL301447-M1,M105C16,67,48.67
BL606100-M0,M112J25,67,48.67
BL319048-M0,M103J97,67,48.67
BL101068-M0,M118K70,70,48.67
BL320082-M0,M111B59,70,48.67
BL320081-M0,M111A64,72,48.67
BL324340-M0,M102D54,73,48.33
BL606105-M0,M112U75,74,48.33
BL203123-M1,M116N71,75,48
BL204129-M1,M107U29,76,48
BL101069-M0,M118K89,77,47.67
BL601195-M1,M108D86,77,47.67
BL213004-M0,M110S70,79,47.67
BL205148-M0,M116P93,79,47.67
BL805002-M0,M102P20,79,47.67
BL101019-M0,M103Y28,82,47.33
BL411009-M0,M105F70,83,47.33
BL204014-M0,M106P86,83,47.33
BL606053-M0,M106R35,83,47.33
BL320129-M0,M113U60,86,47.33
BL703027-M0,M113D63,87,47.33
BL411020-M0,M112U70,88,46.67
BL101010-M0,M102H63,89,46.67
BL320079-M0,M110X87,89,46.67
BL107054-M1,M110U29,91,46.67
BL325055-M0,M114W64,91,46.67
BL301045-M0,M103M60,93,46.67
BL101045-M0,M111X59,93,46.67
BL610068-M0,M105N46,95,46.67
BL606024-M0,M103K45,96,46.33
BL606021-M0,M103J56,97,46
BL301239-M0,M118Q85,98,46
BL204026-M0,M111C86,99,45.67
BL409068-M1,M109A18,100,45.67
BL319030-M0,M102K51,100,45.67
BL801121-M0,M102U62,102,45.67
BL608065-M1,M107K44,102,45.67
BL606098-M0,M112F20,102,45.67
BL616061-M1,M107Z72,105,45.67
BL403001-M0,M105K98,105,45.67
BL705063-M1,M109K72,107,45.33
BL325072-M0,M117A45,108,45.33
BL606022-M0,M103J68,109,45
BL324372-M0,M106J75,110,45
BL302227-M1,M113A28,111,45
BL319098-M0,M105Y42,111,45
BL321010-M0,M119T32,111,45
BL324373-M0,M106K35,114,44.67
BL801168-M1,M106P23,114,44.67
BL320027-M0,M108T30,114,44.67
BL324325-M0,M101F26,117,44.67
BL301007-M0,M101J97,117,44.67
BL303230-M0,M102E35,117,44.67
BL601022-M0,M104Z27,120,44.33
BL320044-M0,M109K23,120,44.33
BL608032-M1,M106H41,122,44.33
BL208129-M1,M122Y64,122,44.33
BL606015-M0,M102U94,124,44.33
BL319077-M0,M105A90,125,44
BL701265-M1,M116P98,126,44
BL606006-M0,M101N73,126,44
BL610088-M0,M108W56,126,44
BL325028-M0,M111B31,126,44
BL606025-M0,M103Z68,130,44
BL606047-M0,M106D45,130,44
BL101129-M1,M103U60,132,44
BL320179-M0,M117S12,133,43.67
BL320194-M0,M118U79,133,43.67
BL321066-M0,M122V78,133,43.67
BL705123-M0,M115J35,136,43.67
BL211220-M0,M113M67,137,43.67
BL324185-M1,M119F17,138,43.33
BL301119-M0,M110V22,139,43.33
BL512046-M0,M109W18,140,43
BL610099-M0,M110C79,140,43
BL319142-M1,M123A26,140,43
BL325001-M0,M107B98,143,43
BL320022-M0,M108Q61,144,43
BL805030-M1,M106R49,145,42.67
BL512074-M0,M116A57,146,42.67
BL321073-M1,M101A21,146,42.67
BL411101-M0,M105D25,148,42.67
BL303300-M0,M112J92,148,42.67
BL613014-M1,M112V74,148,42.67
BL403119-M0,M112M46,148,42.67
BL610139-M0,M121D96,148,42.67
BL320190-M0,M118N37,148,42.67
