 course_id , institute_id , paper_id , course_name , has_offline_procedure , web_link , is_not_available_pwd , is_not_available_male , is_not_available_female
 1101 , IISc , BL , Integrated Ph.D. Biological Sciences , f , , f , f , f , 
 1102 , IISc , BL , Integrated Ph.D. Chemical Sciences , f , , f , f , f , 
 1210 , IITB , BL , M.Sc -Ph.D. dual degree Biotechnology , f , , f , f , f , 
 1101 , IISc , BT , Integrated Ph.D. Biological Sciences , f , , f , f , f , 
 1204 , IITB , BT , M.Sc. Biotechnology , f , , f , f , f , 
 1210 , IITB , BT , M.Sc -Ph.D. dual degree Biotechnology , f , , f , f , f , 
 1213 , IITB , BT , M.Sc -Ph.D. dual degree Environmental Science and Engineering , f , , f , f , f , 
 1802 , IITR , BT , M.Sc. Biotechnology , f , , f , f , f , 
 1101 , IISc , CY , Integrated Ph.D. Biological Sciences , f , , f , f , f , 
 1102 , IISc , CY , Integrated Ph.D. Chemical Sciences , f , , f , f , f , 
 1205 , IITB , CY , M.Sc. Chemistry , f , , f , f , f , 
 1210 , IITB , CY , M.Sc -Ph.D. dual degree Biotechnology , f , , f , f , f , 
 1211 , IITB , CY , M.Sc -Ph.D. dual degree Chemistry , f , , f , f , f , 
 1212 , IITB , CY , M.Sc -Ph.D. dual degree Energy , f , , f , f , f , 
 1213 , IITB , CY , M.Sc -Ph.D. dual degree Environmental Science and Engineering , f , , f , f , f , 
 1301 , IITD , CY , M.Sc. Chemistry , f , , f , f , f , 
 1401 , IITG , CY , M.Sc. Chemistry , f , , f , f , f , 
 1501 , IITK , CY , M.Sc. Chemistry , f , , f , f , f , 
 1601 , IITKgp , CY , Joint M.Sc.-Ph.D. Chemistry , f , , f , f , f , 
 1701 , IITM , CY , M.Sc. Chemistry , f , , f , f , f , 
 1803 , IITR , CY , M.Sc. Chemistry , f , , f , f , f , 
 1905 , IITBBS , CY , Joint M.Sc.-Ph.D. Atmosphere and Ocean Sciences , f , , f , f , f , 
 1901 , IITBBS , CY , Joint M.Sc.-Ph.D. Chemistry , f , , f , f , f , 
 2001 , IITGN , CY , M.Sc. Chemistry , f , , f , f , f , 
 2101 , IITH , CY , M.Sc. Chemistry , f , , f , f , f , 
 2201 , IITI , CY , JM.Sc. Chemistry , f , , f , f , f , 
 1201 , IITB , GG , M.Sc. Applied Geology , f , , f , f , f , 
 1208 , IITB , GG , M.Sc -Ph.D. dual degree Applied Geology , f , , f , f , f , 
 1602 , IITKgp , GG , Joint M.Sc.-Ph.D. Geology , f , , f , f , f , 
 1801 , IITR , GG , M.Sc. Applied Geology , f , , f , f , f , 
 1905 , IITBBS , GG , Joint M.Sc.-Ph.D. Atmosphere and Ocean Sciences , f , , f , f , f , 
 1101 , IISc , MA , Integrated Ph.D. Biological Sciences , f , , f , f , f , 
 1206 , IITB , MA , M.Sc. Mathematics , f , , f , f , f , 
 1212 , IITB , MA , M.Sc -Ph.D. dual degree Energy , f , , f , f , f , 
 1213 , IITB , MA , M.Sc -Ph.D. dual degree Environmental Science and Engineering , f , , f , f , f , 
 1214 , IITB , MA , M.Sc -Ph.D. dual degree Operations Research , f , , f , f , f , 
 1302 , IITD , MA , M.Sc. Mathematics , f , , f , f , f , 
 1402 , IITG , MA , M.Sc. Mathmatics and Computing , f , , f , f , f , 
 1502 , IITK , MA , M.Sc. Mathematics , f , , f , f , f , 
 2401 , IITJ , CY , M.Sc. in Chemistry , f , , f , f , f , 
 1605 , IITKgp , GG , Joint M.Sc.-Ph.D. Geophysics , f , , f , f , f , 
 2302 , IITRPR , CY , M.Sc.-M.S.(Research)/Ph.D. Dual Degree Chemistry , f , , f , f , f , 
 1603 , IITKgp , MA , Joint M.Sc.-Ph.D. Mathematics , f , , f , f , f , 
 1702 , IITM , MA , M.Sc. Mathematics , f , , f , f , f , 
 1902 , IITBBS , MA , Joint M.Sc.-Ph.D. Mathematics , f , , f , f , f , 
 1905 , IITBBS , MA , Joint M.Sc.-Ph.D. Atmosphere and Ocean Sciences , f , , f , f , f , 
 2002 , IITGN , MA , M.Sc. Mathematics , f , , f , f , f , 
 2102 , IITH , MA , M.Sc. Mathematics / Mathematics and Computing , f , , f , f , f , 
 1103 , IISc , MS , Integrated Ph.D. Mathematical Sciences , f , , f , f , f , 
