application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,acceptance_doc_path,declaration_form_path,undertaking_form_path,bank_challan_path,status_id
M106U10,1206,MA,GEN,1,f,f,/mnt/nas/nas3/set83/bucket58/M106U10/M106U10-ch-20150616143545135,,,/mnt/nas/nas3/set83/bucket58/M106U10/M106U10-ch-20150617111037265,3
M107K12,1201,GG,GEN,1,f,t,/mnt/nas/nas3/set98/bucket28/M107K12/M107K12-ch-20150617105656384,,/mnt/nas/nas3/set98/bucket28/M107K12/M107K12-ch-20150617105742383,/mnt/nas/nas3/set98/bucket28/M107K12/M107K12-ch-20150617124001982,3
M117D93,1503,PH,GEN,1,f,f,/mnt/nas/nas1/set61/bucket82/M117D93/M117D93-ch-20150617112702037,,,/mnt/nas/nas1/set61/bucket82/M117D93/M117D93-ch-20150618103910763,3
M115W77,1504,MS,GEN,1,f,t,/mnt/nas/nas1/set58/bucket39/M115W77/M115W77-ch-20150618224608966,,/mnt/nas/nas1/set58/bucket39/M115W77/M115W77-ch-20150618224754103,/mnt/nas/nas1/set58/bucket39/M115W77/M115W77-ch-20150619213544804,3
M104R93,1207,PH,GEN,1,f,f,/mnt/nas/nas1/set10/bucket74/M104R93/M104R93-ch-20150617124320936,,,/mnt/nas/nas1/set10/bucket74/M104R93/M104R93-ch-20150617135353798,3
M112E18,1207,PH,GEN,1,f,t,/mnt/nas/nas2/set72/bucket70/M112E18/M112E18-ch-20150618100832759,,/mnt/nas/nas2/set72/bucket70/M112E18/M112E18-ch-2015061810095938,/mnt/nas/nas2/set72/bucket70/M112E18/M112E18-ch-20150619115447889,3
M101G54,1206,MA,GEN,2,f,f,/mnt/nas/nas2/set19/bucket82/M101G54/M101G54-ch-20150616141841601,,,/mnt/nas/nas2/set19/bucket82/M101G54/M101G54-ch-20150617124509939,3
M102P91,1503,PH,GEN,1,f,t,/mnt/nas/nas3/set74/bucket99/M102P91/M102P91-ch-20150616230845333,,/mnt/nas/nas3/set74/bucket99/M102P91/M102P91-ch-2015061623094159,/mnt/nas/nas3/set74/bucket99/M102P91/M102P91-ch-2015061714565874,3
M111H75,1501,CY,GEN,1,f,t,/mnt/nas/nas2/set81/bucket97/M111H75/M111H75-ch-20150617121727492,,/mnt/nas/nas2/set81/bucket97/M111H75/M111H75-ch-20150617121755565,/mnt/nas/nas2/set81/bucket97/M111H75/M111H75-ch-20150618164953143,3
M103A56,1503,PH,GEN,1,f,t,/mnt/nas/nas1/set19/bucket66/M103A56/M103A56-ch-20150616220915701,,/mnt/nas/nas1/set19/bucket66/M103A56/M103A56-ch-20150616220930469,/mnt/nas/nas1/set19/bucket66/M103A56/M103A56-ch-20150618082032807,3
M111A64,1204,BT,GEN,1,f,t,/mnt/nas/nas3/set95/bucket11/M111A64/M111A64-ch-20150617130919943,,/mnt/nas/nas3/set95/bucket11/M111A64/M111A64-ch-20150617130956196,/mnt/nas/nas3/set95/bucket11/M111A64/M111A64-ch-20150618145059391,3
M109J23,1203,MS,GEN,1,f,f,/mnt/nas/nas1/set61/bucket93/M109J23/M109J23-ch-20150617085634878,,,/mnt/nas/nas1/set61/bucket93/M109J23/M109J23-ch-20150617110147025,3
M105U90,1501,CY,GEN,1,f,t,/mnt/nas/nas3/set73/bucket16/M105U90/M105U90-ch-20150617105258104,,/mnt/nas/nas3/set73/bucket16/M105U90/M105U90-ch-20150617105306125,/mnt/nas/nas3/set73/bucket16/M105U90/M105U90-ch-20150617134808142,3
M101U54,1303,PH,GEN,1,f,f,/mnt/nas/nas2/set66/bucket76/M101U54/M101U54-ch-20150617001009902,,,/mnt/nas/nas2/set66/bucket76/M101U54/M101U54-ch-20150617143943485,3
M101K26,1602,GG,GEN,1,f,t,/mnt/nas/nas2/set71/bucket33/M101K26/M101K26-ch-20150617111920813,,/mnt/nas/nas2/set71/bucket33/M101K26/M101K26-ch-20150617111946305,/mnt/nas/nas2/set71/bucket33/M101K26/M101K26-ch-20150617123037275,3
M105E39,1201,GG,GEN,1,f,t,/mnt/nas/nas3/set2/bucket72/M105E39/M105E39-ch-20150617120034065,,/mnt/nas/nas3/set2/bucket72/M105E39/M105E39-ch-2015061712004032,/mnt/nas/nas3/set2/bucket72/M105E39/M105E39-ch-20150617203014427,3
M109E24,1302,MA,GEN,2,f,t,/mnt/nas/nas3/set19/bucket29/M109E24/M109E24-ch-20150617151549852,,/mnt/nas/nas3/set19/bucket29/M109E24/M109E24-ch-20150617151741886,/mnt/nas/nas3/set19/bucket29/M109E24/M109E24-ch-20150618110407638,3
M122V96,1204,BT,GEN,1,f,f,/mnt/nas/nas2/set43/bucket48/M122V96/M122V96-ch-20150618112325706,,,/mnt/nas/nas2/set43/bucket48/M122V96/M122V96-ch-20150618173124605,3
M103W69,1102,CY,GEN,1,f,f,/mnt/nas/nas3/set59/bucket66/M103W69/M103W69-ch-20150617160038926,,,/mnt/nas/nas3/set59/bucket66/M103W69/M103W69-ch-20150618105812678,3
M101S65,1102,CY,GEN,1,f,t,/mnt/nas/nas2/set33/bucket67/M101S65/M101S65-ch-20150618193137881,,/mnt/nas/nas2/set33/bucket67/M101S65/M101S65-ch-20150618193226832,/mnt/nas/nas2/set33/bucket67/M101S65/M101S65-ch-20150620102737245,3
M101N21,1504,MS,GEN,1,f,t,/mnt/nas/nas1/set18/bucket63/M101N21/M101N21-ch-20150617194711773,,/mnt/nas/nas1/set18/bucket63/M101N21/M101N21-ch-20150617194732619,/mnt/nas/nas1/set18/bucket63/M101N21/M101N21-ch-20150618105149895,3
M107X27,1501,CY,GEN,1,f,t,/mnt/nas/nas3/set80/bucket61/M107X27/M107X27-ch-2015061710090835,,/mnt/nas/nas3/set80/bucket61/M107X27/M107X27-ch-20150617100724882,/mnt/nas/nas3/set80/bucket61/M107X27/M107X27-ch-20150618133128326,3
M107S99,1501,CY,GEN,1,f,t,/mnt/nas/nas3/set52/bucket96/M107S99/M107S99-ch-20150617172237366,,/mnt/nas/nas3/set52/bucket96/M107S99/M107S99-ch-201506171723321,/mnt/nas/nas3/set52/bucket96/M107S99/M107S99-ch-20150619110520594,3
M105P30,1101,BT,GEN,1,f,f,/mnt/nas/nas3/set88/bucket87/M105P30/M105P30-ch-20150617153820746,,,/mnt/nas/nas3/set88/bucket87/M105P30/M105P30-ch-20150619124120764,3
M109W53,1201,GG,GEN,1,f,t,/mnt/nas/nas1/set63/bucket79/M109W53/M109W53-ch-20150617113709865,,/mnt/nas/nas1/set63/bucket79/M109W53/M109W53-ch-20150617114358916,/mnt/nas/nas1/set63/bucket79/M109W53/M109W53-ch-20150617155637943,3
M114D43,1501,CY,GEN,1,f,f,/mnt/nas/nas2/set47/bucket39/M114D43/M114D43-ch-2015061715003624,,,/mnt/nas/nas2/set47/bucket39/M114D43/M114D43-ch-20150618024837367,3
M107S77,1501,CY,GEN,1,f,t,/mnt/nas/nas3/set32/bucket91/M107S77/M107S77-ch-20150617200453292,,/mnt/nas/nas3/set32/bucket91/M107S77/M107S77-ch-201506172005143,/mnt/nas/nas3/set32/bucket91/M107S77/M107S77-ch-20150619190021968,3
M108T47,1203,MS,GEN,1,f,t,/mnt/nas/nas3/set99/bucket89/M108T47/M108T47-ch-20150617102732832,,/mnt/nas/nas3/set99/bucket89/M108T47/M108T47-ch-20150617102913756,/mnt/nas/nas3/set99/bucket89/M108T47/M108T47-ch-20150619111610921,3
M118S37,1205,CY,GEN,2,f,t,/mnt/nas/nas2/set44/bucket92/M118S37/M118S37-ch-2015061616451443,,/mnt/nas/nas2/set44/bucket92/M118S37/M118S37-ch-20150616164524318,/mnt/nas/nas2/set44/bucket92/M118S37/M118S37-ch-20150617105138904,3
M117A45,1204,BT,GEN,1,f,f,/mnt/nas/nas3/set74/bucket97/M117A45/M117A45-ch-20150617133700884,,,/mnt/nas/nas3/set74/bucket97/M117A45/M117A45-ch-20150618120942046,3
M106N29,1207,PH,GEN,1,f,t,/mnt/nas/nas2/set37/bucket79/M106N29/M106N29-ch-20150616131317759,,/mnt/nas/nas2/set37/bucket79/M106N29/M106N29-ch-20150616224223498,/mnt/nas/nas2/set37/bucket79/M106N29/M106N29-ch-20150617131503446,3
M108Y54,1502,MA,GEN,2,t,t,/mnt/nas/nas1/set89/bucket61/M108Y54/M108Y54-ch-20150617121518458,/mnt/nas/nas1/set89/bucket61/M108Y54/M108Y54-ch-20150617121536534,/mnt/nas/nas1/set89/bucket61/M108Y54/M108Y54-ch-20150617121546154,/mnt/nas/nas1/set89/bucket61/M108Y54/M108Y54-ch-20150620123124712,3
M104U99,1104,PH,GEN,1,f,t,/mnt/nas/nas2/set21/bucket25/M104U99/M104U99-ch-20150617094659413,,/mnt/nas/nas2/set21/bucket25/M104U99/M104U99-ch-20150617094733781,/mnt/nas/nas2/set21/bucket25/M104U99/M104U99-ch-20150617123102108,3
M111G71,1104,PH,GEN,1,f,t,/mnt/nas/nas3/set78/bucket22/M111G71/M111G71-ch-20150617113444328,,/mnt/nas/nas3/set78/bucket22/M111G71/M111G71-ch-20150617113612492,/mnt/nas/nas3/set78/bucket22/M111G71/M111G71-ch-20150617175255944,3
M113B22,1101,BL,SC,1,f,t,/mnt/nas/nas2/set37/bucket35/M113B22/M113B22-ch-20150617150842603,,/mnt/nas/nas2/set37/bucket35/M113B22/M113B22-ch-20150617151136823,/mnt/nas/nas2/set37/bucket35/M113B22/M113B22-ch-20150619120633628,3
M111H78,1501,CY,GEN,1,f,t,/mnt/nas/nas3/set74/bucket11/M111H78/M111H78-ch-20150617164252088,,/mnt/nas/nas3/set74/bucket11/M111H78/M111H78-ch-2015061716441399,/mnt/nas/nas3/set74/bucket11/M111H78/M111H78-ch-20150618160857056,3
M102Y77,1205,CY,GEN,1,f,f,/mnt/nas/nas1/set75/bucket99/M102Y77/M102Y77-ch-20150619093259443,,,/mnt/nas/nas1/set75/bucket99/M102Y77/M102Y77-ch-20150619115426343,3
M106M76,1602,GG,GEN,1,f,t,/mnt/nas/nas1/set64/bucket33/M106M76/M106M76-ch-20150617112844733,,/mnt/nas/nas1/set64/bucket33/M106M76/M106M76-ch-20150617112857462,/mnt/nas/nas1/set64/bucket33/M106M76/M106M76-ch-20150617133116314,3
M102J64,1104,PH,GEN,1,f,t,/mnt/nas/nas2/set74/bucket49/M102J64/M102J64-ch-20150617123939857,,/mnt/nas/nas2/set74/bucket49/M102J64/M102J64-ch-20150617124041481,/mnt/nas/nas2/set74/bucket49/M102J64/M102J64-ch-20150617180009149,3
M105J12,1501,CY,GEN,1,f,t,/mnt/nas/nas1/set55/bucket43/M105J12/M105J12-ch-20150617145023614,,/mnt/nas/nas1/set55/bucket43/M105J12/M105J12-ch-20150617145036989,/mnt/nas/nas1/set55/bucket43/M105J12/M105J12-ch-20150617204848382,3
M102T61,1201,GG,OBC,1,f,t,/mnt/nas/nas1/set77/bucket21/M102T61/M102T61-ch-20150617130402482,,/mnt/nas/nas1/set77/bucket21/M102T61/M102T61-ch-2015061713045725,/mnt/nas/nas1/set77/bucket21/M102T61/M102T61-ch-20150617153623361,3
M108T64,1602,GG,GEN,3,f,f,/mnt/nas/nas1/set34/bucket94/M108T64/M108T64-ch-20150617182202524,/mnt/nas/nas1/set34/bucket94/M108T64/M108T64-ch-20150617182347199,,/mnt/nas/nas1/set34/bucket94/M108T64/M108T64-ch-20150618171549654,3
M109C11,1204,BT,GEN,1,f,t,/mnt/nas/nas2/set89/bucket84/M109C11/M109C11-ch-20150617204427187,,/mnt/nas/nas2/set89/bucket84/M109C11/M109C11-ch-20150617204458152,/mnt/nas/nas2/set89/bucket84/M109C11/M109C11-ch-20150619121130239,3
M119M47,1802,BT,GEN,1,f,t,/mnt/nas/nas2/set17/bucket38/M119M47/M119M47-ch-20150616231301434,,/mnt/nas/nas2/set17/bucket38/M119M47/M119M47-ch-20150616231528533,/mnt/nas/nas2/set17/bucket38/M119M47/M119M47-ch-20150620085615217,3
