Application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, StatusId, Auto Upgrade, isSupernumeri
M107E62, 1101, BL, GEN, 1, 6, 63.67, 3, true, false
M113A37, 1101, BL, GEN, 4, 6, 63.67, 1, true, true
M101V78, 1504, MS, GEN, 2, 49, 46.67, 3, true, false
M106F47, 1802, BT, GEN, 5, 52, 35.33, 1, true, false
M110Z66, 1214, MS, GEN, 1, 53, 46.33, 1, true, false
M109A77, 1503, PH, GEN, 2, 72, 44.67, 3, true, false
M111E30, 1905, GG, OBC, 5, 117, 55.33, 1, true, false
M101N86, 1604, PH, GEN, 3, 166, 38.67, 3, true, false
M102T59, 1604, PH, GEN, 1, 166, 38.67, 3, true, false
M105A13, 1604, PH, GEN, 3, 166, 38.67, 3, true, true
M107P79, 1703, PH, GEN, 3, 184, 38, 3, true, false
M116A89, 1703, PH, GEN, 4, 184, 38, 3, true, false
M107H67, 1401, CY, GEN, 7, 185, 55, 3, true, false
M106U53, 1401, CY, GEN, 2, 185, 55, 3, true, false
M103N27, 1401, CY, GEN, 1, 185, 55, 3, true, true
M109Y98, 1703, PH, GEN, 4, 187, 38, 3, true, false
M115D72, 1703, PH, GEN, 8, 188, 38, 3, true, false
M101R32, 1804, MA, GEN, 6, 196, 38.33, 3, true, false
M112C66, 1804, MA, GEN, 3, 196, 38.33, 3, true, true
M121Y66, 2101, CY, GEN, 7, 209, 53.67, 3, true, false
M103G85, 2101, CY, GEN, 8, 209, 53.67, 3, true, false
M104U15, 2101, CY, GEN, 3, 211, 53.67, 3, true, false
M113U97, 1403, PH, GEN, 4, 230, 36, 3, true, false
M106Q12, 1901, CY, GEN, 7, 232, 52.33, 3, true, false
M106K59, 1402, MA, GEN, 6, 232, 36.67, 3, true, false
M101N64, 1403, PH, GEN, 6, 235, 36, 3, true, false
M110E47, 1403, PH, GEN, 3, 235, 36, 3, true, false
M102G80, 1403, PH, GEN, 5, 235, 36, 3, true, true
M107P80, 1403, PH, GEN, 6, 235, 36, 3, true, true
