Program, Institute-Code, Paper, GEN, OBC, SC, ST, GEN-PwD, OBC-PwD, SC-PwD, ST-PwD
1101, IISc, BL, -1, 0, 0, 0, 0, 0, 0, 0
1101, IISc, BT, 0, 0, 0, 0, 0, 0, 0, 0
1102, IISc, CY, 0, 0, 0, 0, 0, 0, 0, 0
1103, IISc, MA, -1, 3, 2, 1, 1, 0, 0, 0
1104, IISc, PH, 0, 2, 1, 1, 0, 0, 0, 0
1201, IITB, GG, 0, 0, 0, 0, 0, 0, 0, 0
1202, IITB, PH, 0, 0, 0, 0, 0, 0, 0, 0
1203, IITB, MS, 0, 0, 0, 2, 0, 0, 0, 0
1204, IITB, BT, 0, 0, 0, 0, 0, 0, 0, 0
1205, IITB, CY, 0, 0, 0, 0, 0, 0, 0, 0
1206, IITB, MA, 0, 0, 0, 0, 0, 0, 0, 0
1207, IITB, PH, 0, 0, 0, 0, 0, 0, 0, 0
1208, IITB, GG, 0, -1, 1, 0, 0, 1, 0, 0
1209, IITB, PH, 1, 1, 1, 0, 1, 0, 0, 0
1210, IITB, BL, 0, 1, 0, 0, 0, 0, 0, 0
1210, IITB, BT, 0, 1, 0, 0, 0, 0, 0, 0
1210, IITB, CY, 0, 0, 1, 0, 0, 0, 0, 0
1210, IITB, PH, 0, 0, 0, 0, 0, 0, 0, 1
1211, IITB, CY, 0, 0, 0, -1, 0, 0, 0, 1
1212, IITB, CY, 0, 1, -1, 0, 0, 0, 1, 0
1212, IITB, MA, 0, 1, 1, 0, 0, 0, 0, 0
1212, IITB, PH, 0, 1, 1, 1, 0, 0, 0, 0
1213, IITB, BT, 1, 1, 0, 1, 0, 0, 0, 0
1213, IITB, CY, 0, 1, 0, 0, 0, 0, 0, 0
1213, IITB, MA, 0, 0, 1, 0, 0, 0, 0, 0
1213, IITB, PH, 0, 1, 0, 0, 0, 0, 0, 0
1214, IITB, MA, 0, 0, 0, 0, 0, 0, 0, 0
1214, IITB, MS, 0, 0, 0, 0, 0, 0, 0, 0
1215, IITB, PH, 0, 0, 0, 0, 0, 0, 0, 0
1216, IITB, PH, 0, 0, 0, -1, 0, 0, 0, 1
1301, IITD, CY, 0, 0, 0, 0, 0, 0, 0, 0
1302, IITD, MA, 0, 0, -1, 0, 0, 0, 1, 0
1303, IITD, PH, 0, 0, 0, -1, 0, 0, 0, 1
1401, IITG, CY, -1, -1, 0, 0, 0, 1, 0, 0
1402, IITG, MA, 1, -1, -1, 0, 0, 0, 1, 0
1403, IITG, PH, -2, -1, 0, 0, 0, 0, 0, 0
1501, IITK, CY, 0, 0, 0, 0, 0, 0, 0, 0
1502, IITK, MA, 0, 0, 0, 0, 0, 0, 0, 0
1503, IITK, PH, 0, -1, 0, 0, 0, 1, 0, 0
1504, IITK, MS, -1, 0, 0, 0, 1, 0, 0, 0
1505, IITK, PH, 0, 3, 2, 1, 0, 0, 0, 0
1601, IITKgp, CY, 0, 0, 0, 0, 0, 0, 0, 0
1602, IITKgp, GG, 0, 0, 0, 0, 0, 0, 0, 0
1603, IITKgp, MA, 0, 0, -1, 0, 0, 0, 1, 0
1604, IITKgp, PH, -1, -1, 0, 0, 0, 1, 0, 0
1605, IITKgp, GG, 0, 0, 0, 0, 0, 0, 0, 0
1605, IITKgp, PH, -1, 0, 0, 0, 1, 0, 0, 0
1701, IITM, CY, 0, -2, 0, 0, 0, 1, 0, 0
1702, IITM, MA, 0, -1, 0, 0, 0, 1, 0, 0
1703, IITM, PH, 1, 0, 0, 0, 0, 0, 0, 0
1801, IITR, GG, 0, 0, 0, 0, 0, 0, 0, 0
1802, IITR, BT, 0, -1, 0, 0, 0, 1, 0, 0
1803, IITR, CY, 0, 0, 0, 0, 0, 0, 0, 0
1804, IITR, MA, -1, -1, 0, 0, 0, 1, 0, 0
1805, IITR, PH, 0, 0, 0, 0, 0, 0, 0, 0
1901, IITBBS, CY, 0, 0, 0, 0, 0, 0, 0, 0
1902, IITBBS, MA, 0, -1, 0, 0, 0, 1, 0, 0
1903, IITBBS, PH, 0, 0, -1, 0, 0, 0, 1, 0
1904, IITBBS, GG, 0, 0, 0, 0, 0, 0, 0, 0
1905, IITBBS, CY, 0, 0, 0, 0, 0, 0, 0, 0
1905, IITBBS, GG, 0, 0, 0, 0, 0, 0, 0, 0
1905, IITBBS, MA, 0, 0, 0, 0, 0, 0, 0, 0
1905, IITBBS, MS, 0, 0, 0, 1, 0, 0, 0, 0
1905, IITBBS, PH, 0, 0, 0, 0, 0, 0, 0, 0
2001, IITGN, CY, 0, 0, 0, 0, 0, 0, 0, 0
2002, IITGN, MA, 0, 1, -1, 0, 0, 0, 0, 0
2003, IITGN, PH, 0, 0, 0, 0, 0, 0, 0, 0
2101, IITH, CY, 0, 0, 0, 1, 0, 1, 0, 0
2102, IITH, MA, 0, 0, 1, 0, 0, 0, 0, 0
2103, IITH, PH, 1, 0, 0, 0, 0, 0, 0, 0
2201, IITI, CY, 1, 0, 0, 1, 0, 0, 0, 0
2202, IITI, PH, -1, 0, 0, 0, 0, 0, 0, 0
2203, IITI, MA, 0, 0, 0, 0, 0, 0, 0, 0
2301, IITRPR, MA, 0, -1, 0, 0, 0, 1, 0, 0
2302, IITRPR, CY, 0, 0, 0, 1, 0, 0, 0, 0
2303, IITRPR, PH, 1, 1, -1, 0, 0, 0, 1, 0
2401, IITJ, CY, 0, 0, 0, 1, 0, 0, 0, 0
2402, IITJ, PH, -1, 0, -1, 0, 0, 0, 0, 0
2403, IITJ, MA, 0, 0, 0, 0, 0, 0, 0, 0
