ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, Allocated-Paper-Mark,  Category, PwD-status, Reg1-ID, Reg1-Rank, Reg1-Marks, Reg2-ID, Reg2-Rank2,  Reg2-Marks,  ValidChoices, Original-Choice, statusId, AutoUpgrade, Quota-Change, Improve-Choice, isSupernumeri
M105E77, PH, 1503, GEN, 1, 1, 84, GEN, false, PH304260-M1, 1, 84, --, --, --, 1503-XXXX-1207-1303-1604-XXXX-1805, PH:IITK:1503#PH:IISc:1104#PH:IITB:1207#PH:IITD:1303#PH:IITKgp:1604#PH:IITK:1505#PH:IITR:1805, 3, false, No-Quota-Change, Same, false
M111T73, MA, 1302, GEN, 1, 1, 75.67, GEN, false, MA325034-M0, 1, 75.67, MS325034-M0, 90, 41, 1302, MA:IITD:1302, 3, false, No-Quota-Change, Same, false
M103J31, GG, 1201, GEN, 1, 1, 86, OBC, false, GG323296-M2, 1, 86, --, --, --, 1201-1602-1801, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801, 3, false, No-Quota-Change, Same, false
M115W77, MS, 1504, GEN, 1, 1, 91.67, GEN, false, MS612190-M2, 1, 91.67, --, --, --, 1504, MS:IITK:1504, 3, false, No-Quota-Change, Same, false
M105Q59, BL, 1101, GEN, 1, 1, 67.33, GEN, false, BL610069-M0, 1, 67.33, BT610029-M0, 30, 38, 1101-1101-1204-1210-1210-1102, BL:IISc:1101#BT:IISc:1101#BT:IITB:1204#BL:IITB:1210#BT:IITB:1210#BL:IISc:1102, 3, false, No-Quota-Change, Same, false
M103J40, GG, 1201, GEN, 1, 1, 86, OBC, false, GG323298-M2, 1, 86, --, --, --, 1201-1602-1801, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801, 3, false, No-Quota-Change, Same, false
M122V96, BT, 1204, GEN, 1, 1, 56.33, GEN, false, BT618094-M2, 1, 56.33, --, --, --, 1204-1101-XXXX-1802, BT:IITB:1204#BT:IISc:1101#BT:IITB:1210#BT:IITR:1802, 3, false, No-Quota-Change, Same, false
M114R25, CY, 1205, GEN, 1, 1, 89, GEN, false, CY609114-M2, 1, 89, --, --, --, 1205-1501-1301-1401-1701-1102-1803-2101-2001-2201-1601-2401-2302, CY:IITB:1205#CY:IITK:1501#CY:IITD:1301#CY:IITG:1401#CY:IITM:1701#CY:IISc:1102#CY:IITR:1803#CY:IITH:2101#CY:IITGN:2001#CY:IITI:2201#CY:IITKgp:1601#CY:IITJ:2401#CY:IITRPR:2302, 3, false, No-Quota-Change, Same, false
M105P12, BL, 1101, GEN, 1, 2, 66.33, GEN, false, BL307007-M0, 2, 66.33, BT307006-M0, 31, 38, 1101-1802, BL:IISc:1101#BT:IITR:1802, 3, false, No-Quota-Change, Same, false
M105J91, MS, 1504, GEN, 1, 2, 82, GEN, false, MS611057-M2, 2, 82, --, --, --, 1504-1203-1214, MS:IITK:1504#MS:IITB:1203#MS:IITB:1214, 3, false, No-Quota-Change, Same, false
