ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, Allocated-Paper-Mark,  Category, PwD-status, Reg1-ID, Reg1-Rank, Reg1-Marks, Reg2-ID, Reg2-Rank2,  Reg2-Marks,  ValidChoices, Original-Choice, statusId, AutoUpgrade, Quota-Change, Improve-Choice, isSupernumeri
M113G34, --, --, --, --, --, -- , GEN, false, PH313296-M1, 970, 22.67, --, --, --, 1503-2402-2003-2202-1303-1207-1403-1805-2103-1703, PH:IITK:1503#PH:IITJ:2402#PH:IITGN:2003#PH:IITI:2202#PH:IITD:1303#PH:IITB:1207#PH:IITG:1403#PH:IITR:1805#PH:IITH:2103#PH:IITM:1703, 0, true, NA, NA, false
M108Z70, --, --, --, --, --, -- , GEN, false, PH612104-M1, 616, 27, --, --, --, 1207-1604-1303-1703-1403-2103-1903-1805, PH:IITB:1207#PH:IITKgp:1604#PH:IITD:1303#PH:IITM:1703#PH:IITG:1403#PH:IITH:2103#PH:IITBBS:1903#PH:IITR:1805, 0, true, NA, NA, false
M120U80, --, --, --, --, --, -- , SC, false, PH614073-M1, 2823, 13.67, --, --, --, 1903-1403-2103-1604-2402-2003-1703-1805-2202-1303-1207-1503, PH:IITBBS:1903#PH:IITG:1403#PH:IITH:2103#PH:IITKgp:1604#PH:IITJ:2402#PH:IITGN:2003#PH:IITM:1703#PH:IITR:1805#PH:IITI:2202#PH:IITD:1303#PH:IITB:1207#PH:IITK:1503, 0, true, NA, NA, false
M105B57, --, --, --, --, --, -- , GEN, false, PH309064-M1, 460, 29.67, --, --, --, XXXX-1207-1202-1303-1503-1805-1703-1403-2103-2202-2402-2003-1215-XXXX-1604-XXXX-XXXX-1605-1216-2303-XXXX-XXXX-1903-1905, PH:IISc:1104#PH:IITB:1207#PH:IITB:1202#PH:IITD:1303#PH:IITK:1503#PH:IITR:1805#PH:IITM:1703#PH:IITG:1403#PH:IITH:2103#PH:IITI:2202#PH:IITJ:2402#PH:IITGN:2003#PH:IITB:1215#PH:IITK:1505#PH:IITKgp:1604#PH:IITB:1209#PH:IITB:1210#PH:IITKgp:1605#PH:IITB:1216#PH:IITRPR:2303#PH:IITB:1212#PH:IITB:1213#PH:IITBBS:1903#PH:IITBBS:1905, 0, true, NA, NA, false
M113G82, --, --, --, --, --, -- , ST, false, PH616228-M1, 5095, 8.67, --, --, --, XXXX-XXXX-1604-2202-2003-1805-2402-1905-1403, PH:IISc:1104#PH:IITK:1505#PH:IITKgp:1604#PH:IITI:2202#PH:IITGN:2003#PH:IITR:1805#PH:IITJ:2402#PH:IITBBS:1905#PH:IITG:1403, 0, true, NA, NA, false
M116U77, --, --, --, --, --, -- , GEN, false, CY511190-M2, 1578, 27.67, --, --, --, 1102-1501-1301-1205-2201-1701-1601-1803-2101-2401-2001-1901-1401-2302-1211-XXXX-1905-XXXX-XXXX-1101, CY:IISc:1102#CY:IITK:1501#CY:IITD:1301#CY:IITB:1205#CY:IITI:2201#CY:IITM:1701#CY:IITKgp:1601#CY:IITR:1803#CY:IITH:2101#CY:IITJ:2401#CY:IITGN:2001#CY:IITBBS:1901#CY:IITG:1401#CY:IITRPR:2302#CY:IITB:1211#CY:IITB:1210#CY:IITBBS:1905#CY:IITB:1213#CY:IITB:1212#CY:IISc:1101, 0, true, NA, NA, false
M101W89, --, --, --, --, --, -- , GEN, false, BT101003-M0, 550, 21, --, --, --, XXXX-XXXX-1204-1802, BT:IITB:1213#BT:IITB:1210#BT:IITB:1204#BT:IITR:1802, 0, true, NA, NA, false
M116C49, --, --, --, --, --, -- , SC, false, PH808110-M1, 4303, 10, --, --, --, 1403-1703-1805-1303-1207-1503-2103-2003-2202-1903-1604-2402-2303, PH:IITG:1403#PH:IITM:1703#PH:IITR:1805#PH:IITD:1303#PH:IITB:1207#PH:IITK:1503#PH:IITH:2103#PH:IITGN:2003#PH:IITI:2202#PH:IITBBS:1903#PH:IITKgp:1604#PH:IITJ:2402#PH:IITRPR:2303, 0, true, NA, NA, false
M111K24, --, --, --, --, --, -- , SC, false, PH207141-M1, 3237, 12.67, --, --, --, XXXX-1216-1215-XXXX-2303-2402-2003-2103, PH:IISc:1104#PH:IITB:1216#PH:IITB:1215#PH:IITK:1505#PH:IITRPR:2303#PH:IITJ:2402#PH:IITGN:2003#PH:IITH:2103, 0, true, NA, NA, false
M102N91, --, --, --, --, --, -- , GEN, false, MA411129-M1, 358, 33.33, --, --, --, XXXX-1302-1206-1214-2102-1502-1603-1804-1902-2002-2203-2301-2403-1702-1402, MA:IISc:1103#MA:IITD:1302#MA:IITB:1206#MA:IITB:1214#MA:IITH:2102#MA:IITK:1502#MA:IITKgp:1603#MA:IITR:1804#MA:IITBBS:1902#MA:IITGN:2002#MA:IITI:2203#MA:IITRPR:2301#MA:IITJ:2403#MA:IITM:1702#MA:IITG:1402, 0, true, NA, NA, false
M109D76, --, --, --, --, --, -- , GEN, false, CY302119-M2, 1316, 30.67, --, --, --, 2401-1301-2001-1803-1501-1901-1205-1401-2101-1601-1701, CY:IITJ:2401#CY:IITD:1301#CY:IITGN:2001#CY:IITR:1803#CY:IITK:1501#CY:IITBBS:1901#CY:IITB:1205#CY:IITG:1401#CY:IITH:2101#CY:IITKgp:1601#CY:IITM:1701, 0, true, NA, NA, false
M116K19, --, --, --, --, --, -- , SC, false, PH801230-M1, 2134, 16, --, --, --, 1207-1805-1503-1303, PH:IITB:1207#PH:IITR:1805#PH:IITK:1503#PH:IITD:1303, 0, true, NA, NA, false
M121D37, --, --, --, --, --, -- , GEN, false, MA802170-M1, 1364, 21, --, --, --, 2203-1502-2301-2403, MA:IITI:2203#MA:IITK:1502#MA:IITRPR:2301#MA:IITJ:2403, 0, true, NA, NA, false
M103Q40, --, --, --, --, --, -- , GEN, false, MA207111-M1, 447, 31.33, --, --, --, XXXX-1206-1302-1502-1603-1702-1804-1902-2002-1402-2102-2203-2301-2403-XXXX, MA:IISc:1103#MA:IITB:1206#MA:IITD:1302#MA:IITK:1502#MA:IITKgp:1603#MA:IITM:1702#MA:IITR:1804#MA:IITBBS:1902#MA:IITGN:2002#MA:IITG:1402#MA:IITH:2102#MA:IITI:2203#MA:IITRPR:2301#MA:IITJ:2403#MA:IITB:1212, 0, true, NA, NA, false
M107S83, --, --, --, --, --, -- , GEN, false, MA309011-M0, 1745, 18.67, --, --, --, 1302-1804-2403-2002-1402-1502-2301-1702-1206-2102-1603-2203, MA:IITD:1302#MA:IITR:1804#MA:IITJ:2403#MA:IITGN:2002#MA:IITG:1402#MA:IITK:1502#MA:IITRPR:2301#MA:IITM:1702#MA:IITB:1206#MA:IITH:2102#MA:IITKgp:1603#MA:IITI:2203, 0, true, NA, NA, false
M106A88, --, --, --, --, --, -- , SC, false, BT702019-M2, 1286, 15.67, --, --, --, 1802, BT:IITR:1802, 0, true, NA, NA, false
