M113A37, BL, 1101, GEN, 4, true
M105A13, PH, 1604, GEN, 3, true
M103N27, CY, 1401, GEN, 1, true
M112C66, MA, 1804, GEN, 3, true
M102S72, PH, 1703, GEN, 5, true
M117W71, MA, 2403, GEN, 10, true
M108Q95, MA, 2403, GEN, 9, true
M111C44, MA, 1905, GEN, 4, true
M108J76, MA, 1402, OBC, 7, true
M121G46, MA, 2301, OBC, 6, true
M103N43, CY, 1701, OBC, 1, true
M112A36, PH, 2303, OBC, 16, true
M114P16, PH, 2303, OBC, 17, true
M108G65, MA, 2002, SC, 8, true
M104K73, MA, 2102, SC, 5, true
M108S40, PH, 2402, SC, 2, true
